epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,2606.52,0.41948,0.4266,0.93094,0.7412,0.70188,0.74828,0.61818,0.87864,1.25111,1.26246,7.13014e-05,7.13014e-05,7.13014e-05
80,2633.12,0.39768,0.38342,0.90729,0.72211,0.71398,0.76224,0.62964,0.87544,1.25669,1.27847,6.82027e-05,6.82027e-05,6.82027e-05
81,2663.83,0.40103,0.33309,0.91426,0.77225,0.69192,0.763,0.63845,0.88358,1.26969,1.28473,6.5104e-05,6.5104e-05,6.5104e-05
82,2696.66,0.37327,0.32094,0.9032,0.80565,0.69658,0.76524,0.62946,0.88744,1.23621,1.28973,6.20053e-05,6.20053e-05,6.20053e-05
83,2723.61,0.38907,0.34436,0.89974,0.78094,0.74257,0.77061,0.63077,0.90249,1.27011,1.30486,5.89066e-05,5.89066e-05,5.89066e-05
84,2776.29,0.36745,0.31704,0.89998,0.75243,0.74046,0.76515,0.63121,0.88602,1.30575,1.28051,5.58079e-05,5.58079e-05,5.58079e-05
85,2809.46,0.3654,0.38611,0.90273,0.80228,0.71341,0.77113,0.64167,0.85478,1.2328,1.26573,5.27092e-05,5.27092e-05,5.27092e-05
86,2839.2,0.35506,0.30345,0.88876,0.76836,0.71859,0.77334,0.63573,0.85582,1.25356,1.26794,4.96105e-05,4.96105e-05,4.96105e-05
87,2870.45,0.38149,0.39856,0.91249,0.82611,0.69695,0.77794,0.63951,0.85967,1.29406,1.2846,4.65118e-05,4.65118e-05,4.65118e-05
88,2901.4,0.33193,0.29131,0.85817,0.87705,0.63113,0.76699,0.63447,0.86064,1.3031,1.28099,4.34131e-05,4.34131e-05,4.34131e-05
89,2927.4,0.35173,0.31254,0.88771,0.86077,0.64424,0.77394,0.64578,0.86523,1.28923,1.29421,4.03144e-05,4.03144e-05,4.03144e-05
90,2958.25,0.32855,0.28146,0.8911,0.79071,0.66557,0.77214,0.63907,0.87535,1.27275,1.29661,3.72157e-05,3.72157e-05,3.72157e-05
91,2990.09,0.2807,0.21477,0.82873,0.69246,0.70552,0.7585,0.62241,0.88909,1.27784,1.32555,3.4117e-05,3.4117e-05,3.4117e-05
92,3021.79,0.27374,0.24956,0.83571,0.75418,0.68234,0.76813,0.63499,0.88194,1.33771,1.32993,3.10183e-05,3.10183e-05,3.10183e-05
93,3048.46,0.25899,0.23367,0.83457,0.70477,0.70678,0.76281,0.63497,0.88485,1.3396,1.33921,2.79196e-05,2.79196e-05,2.79196e-05
94,3074.63,0.27927,0.19417,0.8276,0.72118,0.71682,0.76333,0.63538,0.8934,1.36429,1.34641,2.48209e-05,2.48209e-05,2.48209e-05
95,3105.88,0.27177,0.2697,0.85558,0.74387,0.72059,0.75903,0.62892,0.89214,1.32834,1.34309,2.17222e-05,2.17222e-05,2.17222e-05
96,3132.56,0.25513,0.18073,0.84801,0.74621,0.71838,0.75248,0.62535,0.87712,1.34848,1.32601,1.86235e-05,1.86235e-05,1.86235e-05
97,3180.44,0.24023,0.17579,0.82991,0.78544,0.69485,0.75105,0.62066,0.86929,1.34817,1.31916,1.55248e-05,1.55248e-05,1.55248e-05
98,3213.18,0.24113,0.21764,0.83513,0.79421,0.69308,0.75235,0.62282,0.86877,1.34242,1.31968,1.24261e-05,1.24261e-05,1.24261e-05
99,3239.2,0.23934,0.19245,0.82888,0.81755,0.69023,0.76495,0.63547,0.87241,1.31864,1.32383,9.3274e-06,9.3274e-06,9.3274e-06
100,3269.91,0.25178,0.20545,0.83717,0.81501,0.69206,0.76376,0.63291,0.8759,1.30125,1.3335,6.2287e-06,6.2287e-06,6.2287e-06
